course,course_name,course_number,description,credit_hours
ENG 450,"Startups: Inc, Fund, Contracts, IP",450,"Explore legal tools used in constructing and operating companies. Topics include: issues with business formation, intellectual property, NDA, contracts, and other corporate legal issues impacting startups. Same as TE 450. 3 undergraduate hours. 3 graduate hours.",3 hours.
ENG 461,Technology Entrepreneurship,461,"Product design, marketing, financials, and the general business planning preparation required for start-up companies. Many start-up companies have emerged from this course. Students can work in teams (members can be from outside of class) or individually. Students without a particular idea may be provided an option to participate in PIRL (Product Innovation Research Lab) with the School of Art & Design, but spots are limited. Same as TE 461. 3 undergraduate hours. 3 graduate hours. Prerequisite: MATH 231.",3 hours.
ENG 466,High-Tech Venture Marketing,466,Cornerstone marketing concepts for innovators and engineers to enable analysis of products and technologies from a marketing perspective: engineering product development and adoption life cycle; objectives and strategies; marketing management; communication skills; sales process and tactics; special considerations for new high-tech engineering products and innovations. Same as TE 466. 2 undergraduate hours. 2 graduate hours. Credit is not given for both ENG 466 and BADM 365. Prerequisite: ENG 360.,2 hours.
ENG 498,Special Topics,498,Subject offerings of new and developing areas of knowledge in engineering intended to augment the existing curriculum. See Class Schedule or college course information for topics and prerequisites. Additional fees may apply. See Class Schedule. 1 to 4 undergraduate hours. 1 to 4 graduate hours. Approved for Letter and S/U grading. May be repeated in the same or separate terms if topics vary.,1 TO 4 hours.
ENG 565,Technol Innovation & Strategy,565,"Concepts and frameworks for analyzing how firms can create, commercialize and capture value from technology-based products and services. Business, commercialization, and management aspects of technology. Emphasis on reasons that existing firms or startups which have successfully commercialized products or services fail to sustain their success as technology changes and evolves. Same as TE 565. Prerequisite: STAT 400.",2 hours.
ENG 566,Finance for Engineering Mgmt,566,Cornerstone financial concepts for engineering management to enable analysis of engineering projects from a financial perspective: income statements; the balance sheet; cash flow statements; corporate organization; the time value of money; net present value; discounted cash flow analysis; portfolio theory. Same as TE 566. 2 graduate hours. No professional credit.,2 hours.
ENG 567,Venture Funded Startups,567,"Concepts, tools, and language used by venture capitalists (VCs). Venture-scale opportunity assessment and articulation; venture capital financing and valuation; deal structure; term sheets; financial plans for startups; customer development and marketing; product iterations; sales execution. Same as TE 567. Prerequisite: ENG 566.",1 hours.
ENGL 218,Introduction to Shakespeare,218,"Representative readings of Shakespeare's drama and poetry in the context of his age, with emphasis on major plays; selections vary from section to section. Does not fulfill Shakespeare requirement for the English major. Prerequisite: Completion of the Composition I requirement.",3 hours.
ENSU 310,Renewable & Alternative Energy,310,"Fossil fuel supplies are finite and growing energy demands of an ever increasing population will quickly deplete these reservoirs. Focuses on the use and availability of renewable and alternative energy sources such as wind, solar, bio-fuels, ethanol, geothermal and nuclear power as well as the impacts of using these alternative energy sources on climate, society and the global economy. Students will develop the student's perspective on human energy consumption at all scales through a complete scale analysis of energy production and consumption – from the individual to the national government to the world economy.",4 hours.
ENVS 336,Tomorrow's Environment,336,"Introduction to interdisciplinary methods of analysis of environmental problems in a finite world; examination of the concept of the limits to growth; development of a working understanding of natural systems and environmental economics; and examination of various management strategies (technical, economic, and social) that can be used to improve environmental quality. Same as CHLH 336, and CPSC 336. Prerequisite: One course in the life sciences and one course in the social sciences, or consent of instructor.",3 hours.
EOL 595,Independent Study,595,"Offers opportunity and challenge of self-directive, independent study, that is, develops the individual's ability as an independent student, and enables the student to pursue needed study in a field in which appropriate courses are not being offered during a given term. May be repeated for credit with consent of advisor and department head. Prerequisite: Approval of study outline by adviser and the department head prior to enrollment.",2 TO 4 hours.
EOL 599,Thesis Research,599,Individual direction of research and thesis writing. Approved for S/U grading only. May be repeated.,0 TO 16 hours.
EPS 420,Sociology of Education,420,"Education as a social process in various cultures and historical periods, emphasizing current systems in Westernized countries. Same as SOC 420. 3 undergraduate hours. 2 or 4 graduate hours. Differential credit will be based on additional assignments and requirements as specified by instructor. Prerequisite: SOC 100; or six hours of anthropology, social geography, political science, or sociology.",2 TO 4 hours.
EPS 595,Independent Study,595,"Offers opportunity and challenge of self-directive, independent study; develops the individual's ability as an independent student and enables the student to pursue needed study in a field in which appropriate courses are not being offered during a given term. May be repeated with approval. Prerequisite: Approval of study outline by adviser and the department chairman prior to enrollment.",2 OR 4 hours.
EPS 599,Thesis Research,599,Individual direction of research and thesis writing. Approved for S/U grading only. May be repeated.,0 TO 16 hours.
EPSY 480,Educational Statistics,480,"Designed for terminal value for professional training of students not intending to pursue advanced graduate work, and for introductory value for students continuing graduate study in education; descriptive statistics, introduction to correlation and regression, the normal curve, statistical inference, and the presentation and interpretation of statistical data in educational literature. 4 undergraduate hours. 4 graduate hours.",4 hours.
ESL 501,Intro to Academic Writing,501,"Introduction to the use of rhetorical modes typical of academic writing; introduction to the research paper; review of strategies for effective and critical reading. Approved for S/U grading only. Credit is not given toward a graduate degree. Prerequisite: ESL 500, or recommendation from UIUC English as a Second Language Placement Test.",0 hours.
ESL 505,Intl Business Communication,505,"Course seeks to improve student's English usage for both professional and academic purposes. Skills covered include business letter writing, writing of resumes, research paper writing, formal oral presentations, and informal discussion with special focus on the needs of non-native English speakers. Approved for S/U grading only.",0 hours.
FR 335,French Cultural History to 1789,335,Survey of French cultural history from the Middle Ages to the French Revolution. Taught in French. Credit is not given for FR 335 and FR 435. Prerequisite: FR 211 and FR 212.,3 hours.
FSHN 464,Beverage Science & Technology,464,"Explores the research, science and technology of the production of safe, high quality beverages through the application of food chemistry, food microbiology, and food processing principles. 2 undergraduate hours. 2 graduate hours. Prerequisite: FSHN 414 or FSHN 332 or consent of instructor. FSHN majors only, junior or senior standing required.",2 hours.
GE 297,Independent Study,297,Individual investigations of any phase of General Engineering selected by the students and approved by the department. May be repeated. Prerequisite: Consent of instructor.,1 TO 4 hours.
GE 397,Independent Study,397,Individual investigations or studies of any phase of General Engineering selected by the students and approved by the department. May be repeated in same term. Prerequisite: Consent of instructor.,1 TO 4 hours.
GE 497,Independent Study,497,Advanced problems related to General Engineering. 0 to 4 undergraduate hours. 0 to 4 graduate hours. Approved for Letter and S/U grading. May be repeated in same term. Prerequisite: Consent of instructor.,0 TO 4 hours.
GE 594,Project Design,594,"Engineering design projects emphasizing advanced engineering analysis, synthesis, optimization, and engineering economics. May be repeated to a maximum of 8 hours for credit toward the Master's degree.",1 TO 8 hours.
GE 597,Independent Study,597,Advanced problems related to General Engineering. May be repeated. Prerequisite: Consent of instructor.,1 TO 4 hours.
GE 599,Thesis Research,599,Approved for S/U grading only. May be repeated to a maximum of 16 hours for credit toward the Master's or Ph.D. degree.,0 TO 16 hours.
GLBL 492,UG Research Assistance,492,"Assist Global Studies and program-affiliated faculty in ongoing research. Topics and nature of assistance vary. Capstone paper required. 0 to 3 undergraduate hours. No graduate credit. May be repeated in separate terms up to 6 hours. No more than 6 hours may be counted toward completion of the Global Studies major from any combination of GLBL 492 and other independent study, internship, or research assistance coursework. This includes coursework from other departments on campus or during study abroad. Prerequisite: GLBL 200; evidence of adequate preparation for such study; consent of faculty member supervising the work; and approval of Global Studies program. Global Studies majors only. Not available to freshman. Instructor approval required.",0 TO 3 hours.
GS 199,Undergraduate Open Seminar,199,Approved for both letter and S/U grading. May be repeated for a maximum of 6 hours if topics vary.,0 TO 5 hours.
GWS 590,Topics in GWS,590,"May be repeated. Prerequisite: Graduate standing and previous coursework in women's or gender studies, or consent of instructor.",4 hours.
HIST 255,British Isles to 1688,255,"Survey of the political, social and economic, religious, and cultural history of the British people from the ""prehistoric"" era through the revolution of 1688. Same as MDVL 255.",3 hours.
HIST 300,Topics in Film and History,300,"Examines films as a significant medium of commentary on society and history. Explores the motives and careers of moviemakers, the ways in which films are influenced by their audiences, and how audiences' perception of historical processes are affected by films. Topics will vary. Same as MACS 300. May be repeated to a maximum of 6 hours if topics vary. Students may register in more than one section per term. May be repeated to a maximum of 6 hours.",3 hours.
HRE 595,Independent Study,595,"Offers opportunity and challenge of self-directive, independent study, that is, develops the individual's ability as an independent student and enables the student to pursue needed study in a field in which appropriate courses are not being offered during a given term. May be repeated with approval. Prerequisite: Approval of study outline by adviser prior to enrollment.",2 OR 4 hours.
HRE 599,Thesis Research,599,Individual direction of research and thesis writing. Approved for S/U grading only. May be repeated.,0 TO 16 hours.
LAS 292,Global Perspectives in Cross-Cultural Contexts,292,"Provides an opportunity for students studying abroad to consider how their journey might be articulated as a global learning experience. Requires students to discuss what they are learning, reflect upon it, and discern ways to apply the knowledge gained through their experiences. May be repeated in separate terms. Prerequisite: LAS 291.",1 hours.
LER 100,Introduction to Labor Studies,100,"Provides an overview of workers and unions in American society. Looks at economic, political, and workplace issues facing working people, why and how workers join unions, how unions are structured and function, and how unions and management bargain a contract. Provides a historical overview of the American labor movement, and discusses the contemporary struggles workers and unions face in a rapidly changing global economy.",3 hours.
LIS 445,Info Books & Resources Youth,445,"Evaluation, selection and use of information books and other resources for young people (ages 0-18) in public libraries and school media centers; explores standard selection criteria for factual print and nonprint materials in all formats and develops the ability to evaluate and promote nonfiction books and resources according to their various uses (personal and curricular) and according to young people's various needs (intellectual, emotional, social and physical). 3 undergraduate hours. 2 or 4 graduate hours.",2 TO 4 hours.
LIS 452,Foundations of Information Processing,452,"Covers common data, document processing, and programming constructs and concepts. Focuses on problem solving and abstraction with a programming language. By the end of the course students will be able to design, develop and test a moderately complex computer program to manage full text, bibliographic records or multimedia. The course prepares students for working with applications in data analytics, data science, digital libraries, text mining and knowledge management. No prior programming background is assumed. 4 undergraduate hours. 2 or 4 graduate hours.",2 OR 4 hours.
LIS 458,Instruction and Assistance Sys,458,"Provides an introduction to instruction and assistance methods used in a variety of information systems including libraries, archives, museums, and electronic environments. Includes an overview of theoretical and applied research and discusses relevant issues and concepts. Students will have an opportunity to design and present an instruction or assistance program. 3 undergraduate hours. 2 or 4 graduate hours.",2 TO 4 hours.
LIS 502,Libraries Info and Society,502,"Explores major issues in the library and information science professions as they involve their communities of users and sponsors. Analyzes specific situations that reflect the professional agenda of these fields, including intellectual freedom, community service, professional ethics, social responsibilities, intellectual property, literacy, historical and international models, the socio-cultural role of libraries and information agencies and professionalism in general, focusing in particular on the interrelationships among these issues. 2 or 4 graduate hours. Required M.S. degree core course.",2 OR 4 hours.
LIS 504,Reference and Info Services,504,"Explores reference and information services in a variety of settings, introduces widely used print and online sources, and develops question negotiation skills and search strategies.",4 hours.
LIS 505,Adm Mgt of Libs Info Centers,505,"Designed to explore the principles that govern how organizations and institutions work, this course provides a foundation for and introduction to the theories, practices and procedures involved in the management and administration of libraries and information centers.",4 hours.
LIS 507,Intr to Bibliographic Metadata,507,"Introduction to basic principles and concepts of descriptive and subject cataloging in the context of information service needs for various user communities. Explores principles, structures, standards, technologies and practices relating to organizing and creating access to print and non-print media. Includes coverage of subject analysis and descriptive practices. Introduces controlled vocabularies. Prerequisite: LIS 501, or concurrent enrollment in LIS 501 and LIS 507.",4 hours.
LIS 510,Adult Public Services,510,"The literature, history, and problems of providing library service to the general adult user; investigation of user characteristics and needs, and the effectiveness of various types of adult services.",4 hours.
LIS 516,School Library Media Center,516,"School Library Information Specialists serve children and young adults (ages 5-18) in K-12 school library media centers. Students will acquire specific knowledge, skills and competencies needed to design, develop, integrate and assess curriculum and instruction with an emphasis on the information needs of K-12 students. Readings and projects provide students with opportunities to apply the practical knowledge and skills they have learned about building reading literacy, teaching information literacy skills, collaborating with teachers and integrating resources into teaching and learning. Prerequisite: LIS 506.",2 OR 4 hours.
LIS 528,Adult Popular Literature,528,"A survey of genre fiction, readers' advisory services, the promotion of fiction, narrative nonfiction & media collections in libraries, the social effects of reading, and publishing as a business. Course objectives include: understanding why adults read for pleasure; gaining familiarity with popular fiction genres and their authors; understanding principles and tools of readers' advisory services; examining the issues of popular fiction publishing including the impact of technology in creating new formats; and the process of acquisition, maintenance, and marketing of popular fiction in libraries.",2 OR 4 hours.
LIS 537,"Race, Gender, and Sexuality in the Information Professions",537,"This course examines how issues of race, gender and sexuality are represented in information professions and will study how they affect, and are affected by, information technologies. Socially constructed (mis)representations (or lack of representations) of race, gender and sexual identity will be critically examined in different settings as they intersect, overlap, and impact the information use, technology practices, and the design of information resources and services in the library and information science and related fields. 2 graduate hours. No professional credit. Prerequisite: Restricted to LIS graduate students.",2 hours.
LIS 561,Information Modeling,561,"An introduction to the foundations of information modeling methods used in current digital library applications. The specific methods considered include relational database design, conceptual modeling, markup systems, and ontologies. The basic concepts underlying these methods are, respectively, relations, entities, grammars, and logic. Implementations include relational database design, ER/EER/UML diagrams, XML markup languages, and RDF/OWL semantic web languages. First order logic is emphasized throughout as the foundational framework for information modeling in general, and for contemporary web-based information management and delivery systems (including semantic web technologies) in particular. Prerequisite: LIS 501, or concurrent enrollment in LIS 501 and LIS 561.",4 hours.
LIS 577,Advnced Bibliographic Metadata,577,"Seminar on theoretical and applied approaches to cataloging, including the creation and management of complex descriptive and subject metadata. Topics include current developments in conceptual models for bibliographic materials; information processing and mapping; socio-cultural and critical warrant; and ethical foundations of information organization. Students will engage critically with principles and practices in the application of bibliographic standards in a variety of contexts. Prerequisite: LIS 507 or consent of instructor.",4 hours.
LIS 578,Technical Services Functions,578,"Seminar on the principles, problems, trends, and issues of acquiring, identifying, recording, and conserving/preserving materials in all types of libraries and information centers; includes the special problems of serials management; emphasizes service aspects.",4 hours.
LIS 580,Rare Book and Spec Colls,580,"Designed as a practical introduction to Rare Book and Special Collections Librarianship, to cover for the neophyte as well as the experienced librarian the many issues of these departments' responsibilities, including selection, acquisition, receiving, cataloging, processing, shelving, circulation, inter-library loan, reference, preservation and conservation, security, exhibition, publication, and so forth, including the uses of information technology.",2 hours.
LIS 584,Archival Arrang and Descrip,584,"Provides seminar discussions and a hands-on processing experience that applies current theories and practices utilized to solve the most common problems that are encountered by today's archivists and curators when arranging and describing historical records, archives, manuscripts, and artifacts. Issues of intellectual and physical arrangement, description, and access are addressed.",2 hours.
LIS 586,Digital Preservation,586,"Examines current problems with and approaches to digital preservation that are fundamental to the long-term accessibility of digital materials. Examines the range of current research problems, along with emerging methods and tools, and assesses a variety of organizational scenarios to plan and implement a preservation plan. Topics include basic information theory, preservation of complex digital objects; standards and specifications; sustainability and risk assessment; authenticity, integrity, quality control, and certification; and management of preservation activities.",4 hours.
LIS 590,Advanced Problems in LIS,590,"Variety of newly developed and special courses on selected problems within the seven curriculum domains that reflect different aspects of library and information science, offered as sections of LIS 590: Information organization and knowledge representation; Information resources, uses and users; Information Systems; History, economics, policy; Management and evaluation; Social, community, and organizational informatics; Youth literature and services. Additional fees may apply. See Class Schedule. May be repeated.",1 TO 4 hours.
LIS 591,Practicum,591,Supervised field experience of professional-level duties in an approved library or information center. Approved for S/U grading only. A maximum of 2 hours may be applied toward a degree program. Prerequisite: Completion of 14 graduate hours of library and information science courses; submission of Practicum forms.,2 hours.
LIS 592,Independent Study,592,"Permits the intermediate or advanced student opportunity to undertake the study of a topic not otherwise offered in the curriculum or to pursue a topic beyond or in greater depth than is possible within the context of a regular course.  May be repeated by M.S. students to a maximum of 4 graduate hours; CAS students, a maximum of 8 graduate hours; Ph.D. students, a maximum of 16 graduate hours. Prerequisite: Submission of  ""Request to Enroll in LIS 592"" form.",2 TO 4 hours.
LIS 593,CAS Project,593,"Individual study of a problem in library or information science; forms the culmination of the Certificate of Advanced Study program.  Approved for S/U grading only. May be repeated. Only eight hours will apply to the Certificate of Advanced Study. Prerequisite: Admission to Certificate of Advanced Study program in library and information science; submission of  ""Request to Enroll in LIS 593 - CAS Project""  form.",0 TO 8 hours.
LIS 594,LIS Practice,594,Full-time or part-time practice of library and information science in an off-campus library or information science environment. Approved for S/U grading only. May be repeated. Prerequisite: LIS students only.,0 hours.
LIS 599,Thesis Research,599,"Individual study and research.  M.S. candidates, 0 to 8 graduate hours. Doctoral candidates, 0 to 16 graduate hours. Approved for S/U grading only. May be repeated. MS students must submit a ""Request to Enroll in LIS 599 - Master's Thesis"" form.",0 TO 16 hours.
LLS 490,Senior Research Project,490,Research project leading to a senior paper. 2 or 4 undergraduate hours. No graduate credit. May be repeated in separate terms to a maximum of 4 undergraduate hours. Prerequisite: Senior standing; enrollment as a major in Latina/Latino Studies; and consent of instructor.,2 OR 4 hours.
MACS 100,Intro to Popular TV & Movies,100,"The goal of this course is for students to begin to develop a critical understanding of the role of popular movies and television in their own lives and in U.S. culture.  The course looks at issues of the relationship of media to social violence, gender identities, sexual identities, adolescents, minority cultures, and the role of the U.S. media globally. It also considers some of the major media genres that characterize U.S. popular television and movies.",3 hours.
MACS 300,Topics in Film and History,300,"Examines films as a significant medium of commentary on society and history. Explores the motives and careers of moviemakers, the ways in which films are influenced by their audiences, and how audiences' perception of historical processes are affected by films. Topics will vary. Same as HIST 300. May be repeated to a maximum of 6 hours if topics vary. Students may register in more than one section per term. May be repeated to a maximum of 6 hours.",3 hours.
MDVL 251,Viking Mythology,251,"Studies pre-Christian beliefs of the Germanic peoples as reflected primarily in medieval Icelandic prose and poetry (in translation). Same as CWL 251, SCAN 251, and RLST 251.",3 hours.
MDVL 255,British Isles to 1688,255,"Survey of the political, social and economic, religious, and cultural history of the British people from the ""prehistoric"" era through the revolution of 1688. Same as HIST 255.",3 hours.
ME 340,Dynamics of Mechanical Systems,340,"Dynamic modeling of mechanical components and systems; time-domain and frequency-domain analyses of linear time-invariant systems; multi-degree-of-freedom systems; linearization of nonlinear systems. Credit is not given for both ME 340 and either GE 320 or AE 353. Prerequisite: MATH 285 and TAM 212; credit or concurrent registration in ECE 205, ECE 206, and MATH 415.",3.5 hours.
ME 440,Kinem & Dynamics of Mech Syst,440,Kinematics and dynamics of constrained rigid-body mechanical systems; use of modern computer-based analysis software packages. 3 undergraduate hours. 4 graduate hours. Prerequisite: ME 370.,3 OR 4 hours.
MUS 517,Topics in Hist of Instrum Mus,517,"Intensive study of a period or school of instrumental composition, or of a particular genre of instrumental music. Includes wide reading in the social and intellectual climate of the period concerned; structural and stylistic analysis; and work with primary sources, whenever available. May be repeated to a maximum of 8 hours. Prerequisite: MUS 528A (consult Class Schedule for specific section information), or graduate standing in musicology, or consent of instructor.",4 hours.
MUS 519,Analytical Methods: Musicology,519,"Practical, hands-on experience with and exposure to the transcription, analysis, theoretical constructs, and/or notation of music from any of the world's repertories examined within a musicological framework and from both a synchronic and diachronic perspective. A series of case studies posing an array of technical problems encourage students to think critically about the place of theory and analysis in the history of musicology and their own work. May be repeated, as topics vary, in the same term to a maximum of 8 hours and in separate terms to a maximum of 12 hours. Students repeating should consult with the instructor before enrolling. Prerequisite: MUS 511 and MUS 512; or consent of instructor. Graduate students in music will be considered if they passed MUS 528A (consult Class Schedule for specific section information).",4 hours.
MUS 529,Transformative Music Education,529,"Music educators in all settings operate in a crosscurrent of social, musical, educational, and person values. In order to improve our professional practice and transform the profession, we need to examine society's expectations of schools, education, music and the arts as well as our own. In this course, students will learn how sociology can be used to identify and clarify these connections.",2 OR 4 hours.
PHYS 298,Freshmen/Sophomore Special Topics in Physics,298,"Topical offerings of technical interest, skills, and knowledge in physics, and its practice, intended to augment the existing curriculum at the introductory level. Approved for Letter and S/U grading. May be repeated in separate terms up to 12 credit hours if topics vary. Prerequisite: See Class Schedule or departmental course information for topics and prerequisites. For students with freshman or sophomore standing.",0 TO 4 hours.
PS 101,Intro to US Gov & Pol,101,"Examines the organization and development of national, state, and local governments in the U.S.; the federal system; the U.S. Constitutions; civil and political rights; the party system; and the nature, structure, powers, and procedures of national political institutions. This course may require limited participating as a subject in research.",3 hours.
PS 220,Intro to Public Policy,220,"Surveys the policy process including adoption, implementation, and evaluation. Topics may include reviews of substantive policy issues such as crime, energy, environment, poverty, foreign policy, civil liberties, or economic regulation. Prerequisite: PS 100 or PS 101, or consent of instructor.",3 hours.
PS 300,Special Topics,300,"Selected readings and research in political science. See Class Schedule for current topics. May be repeated to a maximum of 6 hours if topics vary. Prerequisite: Six hours of political science, or consent of instructor.",3 hours.
PSYC 199,Undergraduate Open Seminar,199,Approved for letter and S/U grading. May be repeated.,1 TO 5 hours.
PSYC 533,Intern in Ind Org Psych,533,"Supervised practice in organizational practice and research, implementation of programs, evaluation, feedback of survey results, applied assessments, assistance in EAP programs, and development of personnel guidelines; emphasizes applications of principles and procedures. Offered in special interest of graduate students in I/O psychology program. Prerequisite: Graduate standing in Psychology, credit or concurrent registration in PSYC 530, and consent of instructor.",4 hours.
PSYC 593,Seminar,593,"Discussion of current topics in their historical setting, with special emphasis on research problems. 2 or 4 graduate hours. No professional credit. May be repeated if topics vary.",2 OR 4 hours.
RLST 106,Archaeology and the Bible,106,"Examination of archaeological evidence, especially from Syria-Palestine, and discussion of its use in the interpretation of Biblical literature.",3 hours.
RLST 110,World Religions,110,"Survey of the leading living religions, including Hinduism, Buddhism, Confucianism, Taoism, Judaism, Christianity, and Islam; examination of basic texts and of philosophic theological elaborations of each religion. Same as PHIL 110. This course can be used to fulfill either Western or Nonwestern general education categories, but not both.",3 hours.
RLST 199,Undergraduate Open Seminar,199,May be repeated.,1 TO 5 hours.
RLST 251,Viking Mythology,251,"Studies pre-Christian beliefs of the Germanic peoples as reflected primarily in medieval Icelandic prose and poetry (in translation). Same as CWL 251, MDVL 251, and SCAN 251.",3 hours.
RLST 494,Topics in Religious Thought,494,3 undergraduate hours. 4 graduate hours. May be repeated as topics vary.,3 OR 4 hours.
RST 484,Practicum,484,Students are assigned to University-approved field training stations in an internship capacity for a minimum of forty hours per week for sixteen weeks. Both the agency and the University provide supervision. 12 undergraduate hours. 12 graduate hours. Approved for S/U grading only. Prerequisite: Senior standing; RST 480 and RST 410.,12 hours.
SCAN 251,Viking Mythology,251,"Studies pre-Christian beliefs of the Germanic peoples as reflected primarily in medieval Icelandic prose and poetry (in translation). Same as CWL 251, MDVL 251, and RLST 251.",3 hours.
SOC 420,Sociology of Education,420,"Education as a social process in various cultures and historical periods, emphasizing current systems in Westernized countries. Same as EPS 420. 3 undergraduate hours. 2 or 4 graduate hours. Differential credit will be based on additional assignments and requirements as specified by instructor. Prerequisite: SOC 100; or six hours of anthropology, social geography, political science, or sociology.",2 TO 4 hours.
SOCW 568,Field Instruction I,568,"Field Instruction I is the first term of a two-term consecutive (minimum 31-week) field placement. The field practicum is educationally directed and supervised by an approved agency-based field instructor and provides an opportunity to integrate classroom theories, concepts and principles into practice experiences for the development of social work practice skills. Approved for S/U grading only. Prerequisite: Consent of instructor.",8 hours.
SPAN 200,Readings in Hispanic Texts,200,"Readings and discussion in Spanish of a variety of texts by leading Hispanic and Hispanic-American writers covering genres and themes; designed to emphasize reading, discussion, and enjoyment rather than literary criticism. Open to non-Spanish majors. Credit may be received by Advanced Placement ""Language"" or ""Literature"" examination. Prerequisite: SPAN 141, SPAN 142, or equivalent.",3 hours.
SPED 526,Collaborative Leaders in SPED,526,"Course provides special educators and other professionals with skills and strategies to assume a leader/change agent role in their schools. Participants focus on effective leadership, collaborative practices, and innovative programs in special education that create unique learning environments, ultimately impacting all stakeholders (student with and without disabilities, teachers, families). Course readings, lectures, and activities address how leaders in the field affect change in special education through grant writing, professional development, and the implementation and evaluation of innovative programs and practices. Prerequisite: SPED 426 or SPED 538 or equivalent.",4 hours.
SPED 538,Interdisciplinary Teaming,538,"Study of roles and functions of teams in early intervention and special education service delivery; considers models of team process within and between service settings; explores dynamics of interaction on teams, including approaches to decision-making, communication, and conflict resolution; examines professional roles and tasks of team members in the intervention process.",4 hours.
TE 461,Technology Entrepreneurship,461,"Product design, marketing, financials, and the general business planning preparation required for start-up companies. Many start-up companies have emerged from this course. Students can work in teams (members can be from outside of class) or individually. Students without a particular idea may be provided an option to participate in PIRL (Product Innovation Research Lab) with the School of Art & Design, but spots are limited. Same as ENG 461. 3 undergraduate hours. 3 graduate hours. Prerequisite: MATH 231.",3 hours.
TE 466,High-Tech Venture Marketing,466,Cornerstone marketing concepts for innovators and engineers to enable analysis of products and technologies from a marketing perspective: engineering product development and adoption life cycle; objectives and strategies; marketing management; communication skills; sales process and tactics; special considerations for new high-tech engineering products and innovations. Same as ENG 466. 2 undergraduate hours. 2 graduate hours. Credit is not given for both ENG 466 and BADM 365. Prerequisite: ENG 360.,2 hours.
THEA 100,Practicum I,100,"Practical work in the design, construction, and handling of scenery, lighting, sound, properties, costumes, and makeup for public performance. A minimum of forty hours of production activity to be arranged for each credit hour. May be repeated to a maximum of 12 hours. Prerequisite: Consent of instructor required for non-theatre majors.",1 TO 3 hours.
TRST 580,Special Topics in Translation,580,"Covers topics of special interests to rising professional translators in the three areas of specialization of the MA in Translation and Interpreting: Applied Literary Translation, Translation for the Professions and Interpreting. Examples of topics may include: Translation for Government, Literary Translation, Translation and Digital Humanities. May be repeated in separate terms for a maximum of 8 hours.",4 hours.
UP 335,Cities and Immigrants,335,"Focuses on the experiences of United States cities and towns undergoing rapid demographic economic, social, and cultural changes and the local responses to those changes, including local policy making, land-use regulations, community controversy, and grassroots activism. Same as SOCW 335.",3 hours.
UP 443,"Scenarios, Plans & Future Cities",443,"This course teaches theories and tools of scenario analysis, a set of techniques useful for making plans and creating more sustainable future cities. Scenario analysis can be used to think about multiple facets of a problem simultaneously and for addressing the uncertain future in light of the limited cognitive and computational capacity of individuals and organizations. Urban planners and policymakers are adopting and extending scenario approaches to envision the future, analyze decisions, and identify robust strategies in situations as varied as comparing projected outcomes of alternative routes for highway investment, to making decisions in situations when formal regulatory mechanisms may be lacking. The need for knowledge and skills in this area is reflected in (1) the growing use of scenario analysis as a required method in many government-funded planning initiative in the United States and around the world, (2) new courses and workshops offered by urban planning programs and professional trainers, such as the American Planning Association and Planetizen, and (3) the sprouting of scenario planning support tools, such as Envision Tomorrow and Index PlanBuilder. 3 undergraduate hours. 3 graduate hours. Prerequisite: A completion of an urban planning class would be useful. Junior standing is required.",3 hours.
WLOF 403,Intermediate Wolof I,403,"Survey of more advanced grammar, with emphasis on increasing conversational fluency, composition skills, study of written texts in standard and Dakar Wolof, and discussion of grammatical variations. Same as AFST 443. 4 undergraduate hours. 4 graduate hours. Prerequisite: WLOF 202.",4 hours.
WLOF 404,Intermediate Wolof II,404,"Continuation of WLOF 403. Emphasizes ability to engage in reasonably fluent discourse in Wolof, comprehensive knowledge of formal grammar, and ability to read ordinary texts in standard and Dakar Wolof. Same as AFST 444. 4 undergraduate hours. 4 graduate hours. Prerequisite: WLOF 403.",4 hours.
ACCY 415,Auditing Stds and Practice,415,"Framework for understanding and evaluating the professional auditing standards for assurance services. Model of financial reporting provides an overview of the types of information disseminated by companies to external users, and provides the basis for identifying professional standards areas for future standards' development. 3 undergraduate hours. No graduate credit. Credit is not given for both ACCY 415 and ACCY 515. Prerequisite: ACCY 304 or consent of department.",3 hours.
ACCY 557,Advanced Topics in Taxation,557,"Seminar on federal tax topics of current interest in specialized areas; topics include international taxation, deferred compensation, problems of closely-held businesses, estate planning, taxation of trusts, and new developments. May be repeated with the consent of the department. Prerequisite: ACCY 451 or consent of department.",1 TO 4 hours.
AE 403,Spacecraft Attitude Control,403,"Theory and applications of spacecraft attitude dynamics and control; Euler angles, direction cosines, quaternions, and Gibbs-Rodrigues parameters; attitude sensors and control actuators; spin, three-axis active, reaction wheel, control moment gyro, and gravity gradient control systems; environmental effects. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 352 and AE 353.",3 OR 4 hours.
AE 410,Computational Aerodynamics,410,"Computational technologies as solution tools for various aerodynamic problems; modeling and solution of one-and two-dimensional, incompressible and compressible, steady and unsteady inviscid external flow fields. Computational laboratory for practical experience. Same as CSE 461. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 311; credit or concurrent enrollment in AE 312.",3 OR 4 hours.
